Comment,Designator,Footprint,LCSC Part #（optional）
USB_MICRO-B_FEMALE-SMT,J1,USB-B-MICRO-SMD,
0.1uF,"C40, C42",0402,C1525
0.47uF,C1,0805,C13967
100KOhm,"R4, R5, R6, R7",0603,C25803
100nF,C18,0402,C1525
100nF,"C6, C11, C12, C14, C15, C16, C20, C21, C22, C24, C25, C26, C27, C28, C29, C30, C36, C38, C39",0402,C1525
10nF,"C7, C37, C44",0402,C15195
10uH,"L1, L2, L4",0805C,C1046
12MHz,Y2,CRYSTAL-SMD-3.2X2.5MM,C93234
1MOhm,R13,1206,C17927
1Ohm,"R1, R2, R3",0402,C25125
2.2nF,C41,0402,C1531
22pF,"C8, C31, C32, C33, C34",0402,C1555
22uF,"C2, C3, C4",1206,C5672
32.768 kHz,Y1,CRYSTAL-SMD-3.2X1.5MM,C32346
33uF,C5,1206,C128347
39Ohm,"R8, R9",0402,C25110
4.7KOhm,"R11, R12",0805,C17673
4.7nF,C43,0402,C1538
4.7uF,"C9, C10, C13, C17, C19, C23, C35",0805,C1779
6.8KOhm,R10,0805,C17772
ATSAM3X8EA-AU,U1,LQFP144,C79305
CG0603MLC-05E,"RV1, RV2, RV3",0603,C20959
LM3940IMPX-3.3/NOPB,U2,SOT-223-4,C140319
MF-SMDF050,F1,MF-SMDF050,C12558
Beads,L3,0805,C1015
MPU-6050,U3,24-QFN (4x4),C24112
SKRKAEE020,"ERASE, RESET",SOD4829X200,