Designator,Mid X,Mid Y,Layer,Rotation
C1,59.31,11.23,Top,270.00
C2,49.78,10.74,Top,270.00
C3,52.96,10.74,Top,270.00
C4,56.13,10.74,Top,270.00
C5,49.99,24.61,Top,270.00
C6,62.10,11.76,Top,270.00
C7,9.45,33.60,Top,90.00
C8,19.81,36.73,Top,180.00
C9,16.76,16.87,Top,180.00
C10,47.32,24.16,Top,90.00
C11,40.41,4.32,Top,270.00
C12,17.12,6.07,Top,270.00
C13,19.79,3.18,Top,270.00
C14,23.37,4.42,Top,270.00
C15,19.00,18.87,Top,180.00
C16,14.76,36.96,Top,90.00
C17,12.14,34.59,Top,90.00
C18,18.72,24.99,Top,180.00
C19,16.46,13.16,Top,180.00
C20,46.20,16.46,Top,180.00
C21,31.72,33.88,Top,270.00
C22,26.19,31.52,Top,270.00
C23,27.89,35.05,Top,270.00
C24,38.86,4.32,Top,90.00
C25,15.95,14.88,Top,0.00
C26,18.95,22.78,Top,0.00
C27,40.16,31.50,Top,270.00
C28,46.20,17.86,Top,0.00
C29,20.07,12.75,Top,270.00
C30,35.76,31.50,Top,90.00
C31,24.16,35.48,Top,180.00
C32,18.39,32.28,Top,0.00
C33,13.46,19.43,Top,0.00
C34,13.46,21.95,Top,0.00
C35,54.23,36.02,Top,180.00
C36,51.00,36.96,Top,90.00
C37,79.22,29.57,Top,90.00
C38,25.12,4.42,Top,270.00
C39,28.58,2.49,Top,270.00
C40,70.18,11.96,Top,180.00
C41,74.30,5.71,Top,270.00
C42,74.80,15.39,Top,90.00
C43,1.63,19.53,Top,270.00
C44,76.76,15.01,Top,90.00
ERASE,70.51,29.46,Top,270.00
F1,10.57,9.80,Top,0.00
J1,3.36,26.34,Top,0.00
L1,20.14,6.58,Top,0.00
L2,15.27,33.17,Top,270.00
L3,26.82,3.96,Top,270.00
L4,30.25,31.01,Top,180.00
R1,21.84,4.11,Top,270.00
R2,13.08,31.72,Top,180.00
R3,27.48,31.06,Top,270.00
R4,43.69,36.98,Top,270.00
R5,45.97,36.98,Top,270.00
R6,48.26,36.93,Top,270.00
R7,44.27,29.44,Top,180.00
R8,21.77,28.37,Top,90.00
R9,14.61,25.65,Top,270.00
R10,20.27,38.53,Top,0.00
R11,80.47,5.57,Top,0.00
R12,80.47,7.67,Top,0.00
R13,4.19,18.52,Top,90.00
RESET,75.74,29.44,Top,270.00
RV1,7.87,19.20,Top,90.00
RV2,8.94,25.04,Top,90.00
RV3,8.94,28.27,Top,270.00
U1,32.56,18.03,Top,180.00
U2,59.44,18.19,Top,0
U3,75.07,10.36,Top,90
Y1,16.28,20.68,Top,270.00
Y2,22.15,33.20,Top,0.00